	3369	51%	42%	5%	138		  0		  0
	3370	51%	41%	5%	137		  0		  0
	3371	49%	40%	4%	136		  0		  0
	3372	48%	39%	5%	136		  0		  0
	3373	47%	38%	3%	135		  0		  0
	3374	45%	37%	4%	134		  0		  0
	3375	43%	35%	2%	133		  0		  0
	3376	41%	33%	2%	131		  0		  0
	3377	39%	31%	1%	130		  0		  0
	3378	37%	30%	1%	128		  0		  0
	3379	36%	28%	1%	127		  0		  0
	3380	34%	27%	0%	125		  0		  0
	3381	34%	27%	0%	124		  0		  0
	3382	33%	26%	1%	122		  0		  0
	3383	34%	27%	1%	122		  0		  0
	3384	35%	27%	2%	121		  0		  0
	3385	37%	30%	1%	122		  0		  0
	3386	40%	32%	2%	122		  0		  0
	3387	45%	36%	0%	123		  0		  0
	3388	50%	39%	0%	124		  0		  0
	3389	55%	44%	2%	126		  0		  0
	3390	62%	50%	3%	128		  0		  0
	3391	68%	55%	6%	129		  0		  0
	3392	75%	62%	9%	131		  0		  0
	3393	82%	68%	13%	133		  0		  0
	3394	90%	75%	17%	136		  0		  0
	3395	98%	81%	19%	145		  0		  0
	4904	15%	18%	29%	272		  0		  0
	4905	7%	7%	5%	271		  0		  0
	4906	151%	108%	58%	216		  0		  0
	4907	495%	376%	79%	48		  0		  0
	4908	861%	669%	73%	958		  0		  0
	4909	1119%	940%	249%	2232		  0		  0
	4910	1082%	882%	111%	2266		  0		  0
	4911	989%	811%	127%	2053		  0		  0
	4912	841%	695%	133%	1739		  0		  0
	4913	606%	504%	109%	1264		  0		  0
	4914	380%	315%	67%	803		  0		  0
	4915	239%	200%	49%	514		  0		  0
	4916	164%	138%	40%	366		  0		  0
	4917	123%	105%	33%	281		  0		  0
	4918	96%	83%	30%	225		  0		  0
	4919	76%	66%	27%	180		  0		  0
	4920	57%	50%	23%	143		  0		  0
	4921	41%	37%	20%	111		  0		  0
	4922	28%	26%	17%	84		  0		  0
	4923	18%	18%	15%	64		  0		  0
	4924	9%	10%	13%	46		  0		  0
	4925	1%	3%	11%	30		  0		  0
	4926	7%	4%	9%	16		  0		  0
	4927	13%	9%	8%	4		  0		  0
	4928	20%	14%	6%	7		  0		  0
	4929	25%	19%	5%	16		  0		  0
	4930	30%	23%	3%	24		  0		  0
	4931	35%	27%	1%	31		  0		  0
	4932	38%	30%	1%	37		  0		  0
	4933	42%	33%	1%	43		  0		  0
	4934	44%	35%	2%	46		  0		  0
	4935	46%	37%	3%	50		  0		  0
	4936	48%	38%	3%	52		  0		  0
	4937	49%	40%	4%	55		  0		  0
	4938	49%	40%	4%	56		  0		  0
	4939	50%	41%	5%	57		  0		  0
